"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"22",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2003","10673551.0903311","8707129.64672221","13084069.8944681","16.1832793786239","0.103893047315426","index"
"23",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2005","8979833.0032905","7397788.87294215","10900203.0406574","16.0104918435899","0.098879434799755","index"
"24",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2007","10035467.3287408","8263364.88958715","12187602.2482236","16.1216361090077","0.0991312475003154","index"
"25",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2009","16559732.0333316","13620983.6741967","20132519.9100881","16.6224845252284","0.0996765491185407","index"
"26",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2011","15966148.4942371","13047482.7009201","19537707.2791254","16.5859813197983","0.102999618740888","index"
"27",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2013","15179430.7882639","12096249.3959665","19048476.227063","16.5354518317494","0.115841841124942","index"
"28",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2015","9041427.69962811","7329847.55299108","11152675.9945019","16.0173276512733","0.107074607984684","index"
"29",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2017","5767037.05034058","4424843.59080829","7516359.76672467","15.5676689971201","0.135167538852917","index"
"30",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2019","6754770.28766334","5341323.68693874","8542249.88286556","15.7257595225308","0.119785599487839","index"
"31",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2021","8401138.01507089","6695516.83523785","10541250.4643134","15.9438777326219","0.115782230227902","index"
"32",NA,"GOA","Pacific cod","21720",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","pacific_cod","1_1","2023","9008788.79549233","7141611.98062307","11364139.6062949","16.013711191635","0.118503256712197","index"
