"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"22",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2003","11990182.6358384","9291572.93420921","15472566.4490517","16.2995987592345","0.130094404804534","index"
"23",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2005","10757097.8810378","8241848.23983329","14039952.1387656","16.1910763626604","0.135890856707938","index"
"24",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2007","14423249.4489189","11210622.6550155","18556518.319049","16.4843520076334","0.128563418262145","index"
"25",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2009","8849219.11308525","6775671.23918694","11557331.5391244","15.9958397772815","0.136222289629004","index"
"26",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2011","9287126.39106588","6997274.69274419","12326329.9485826","16.0441397401267","0.144445735103636","index"
"27",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2013","11164282.6107797","8340043.14171918","14944911.4465451","16.2282301877912","0.148804387683742","index"
"28",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2015","10550443.4974409","7989891.68392375","13931585.3576164","16.1716784546749","0.141834592713031","index"
"29",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2017","9612550.49945202","7173562.13718332","12880787.1650773","16.0785801463013","0.14932276719433","index"
"30",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2019","7048118.49001395","5270251.51749426","9425731.2168841","15.7682712583203","0.148310180674121","index"
"31",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2021","7364728.98620521","5266605.15249159","10298708.8399044","15.8122128096737","0.171082878544908","index"
"32",NA,"GOA","flathead sole","10130",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","flathead_sole","1_1","2023","5648696.78894394","4062671.6574465","7853889.78086417","15.5469354196932","0.168158223020809","index"
