"","X","srvy","common_name","species_code","filter_lat_lt","filter_lat_gt","filter_depth","model_fn","model_family","model_anisotropy","model_spatiotemporal","file_name","effort","year","est","lwr","upr","log_est","se","type"
"22",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2003","7620605.04931546","3986858.05998448","14566262.5666383","15.8463663273079","0.330542962725069","index"
"23",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2005","13691545.3207109","7193263.950018","26060271.744736","16.4322890704202","0.328390466314727","index"
"24",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2007","21116285.5748036","11208217.5076518","39783089.1640216","16.8655551289298","0.323167854435605","index"
"25",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2009","13917055.4196333","7597614.13167126","25492796.5801469","16.4486256545478","0.308822423980851","index"
"26",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2011","18563489.3572573","9001363.07989591","38283439.3033936","16.7367072718143","0.369303058816065","index"
"27",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2013","26615990.7752344","12410763.6445496","57080368.7215872","17.0970227500932","0.389266367244706","index"
"28",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2015","20195033.0179023","9981080.12904379","40861244.8073029","16.8209472419326","0.35957057154988","index"
"29",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2017","12937637.9518889","6900158.00530996","24257774.3357977","16.3756512918809","0.320718354119592","index"
"30",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2019","11422089.5425083","5158737.53725476","25289933.5496147","16.2510597176534","0.405546877250321","index"
"31",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2021","12578353.8922179","5691096.16138585","27800441.6286907","16.3474879494998","0.404637289876101","index"
"32",NA,"GOA","northern rockfish","30420",NA,NA,NA,"total_catch_wt_kg ~ 0 + factor(year)","delta_gamma","TRUE","iid, iid","northern_rockfish","1_1","2023","7370435.34442398","3193991.2667436","17007972.9810028","15.8129873322207","0.426643277801326","index"
